payload,category
entrar | bob%40%3CSCRipt%3Ealert%28Paros%29%3C%2FscrIPT%3E.parosproxy.org | c69p04e13 | off | Entrar HTTP/1.1,Command Injection
entrar | modestin | es'pec'ia/l | off | Entrar HTTP/1.1,Command Injection
entrar | modestin | c69p04e13 | off | Entrar HTTP/1.1,Command Injection
%3F HTTP/1.1,Encoded Attack
1 HTTP/1.1,Other
Credenciales incorrectasbob%40%3CSCRipt%3Ealert%28Paros%29%3C%2FscrIPT%3E.parosproxy.org HTTP/1.1,Encoded Attack
"""><!--#EXEC cmd=""dir ""-->< HTTP/1.1",SQLi
insertar | 1764any%0ASet-cookie%3A+Tamper%3D1041264011025374727 | Pasar por caja HTTP/1.1,Command Injection
insertar | 1764 | Confirmar/ HTTP/1.1,Command Injection
insertar | 1764 | Pasar por caja HTTP/1.1,Command Injection
"registro | audy | 8a9c27','0','0');waitfor delay '0:0:15';-- | Juan | Ricart Rizzi | taube@farmaoferta.bi | 94839637B | Calle San Indalencio 168  | San Jos� del Valle | 33783 | Zamora | 8868360012752422 | Registrar HTTP/1.1",SQLi
registro | audy | 8a9c27 | ?P'r�spero | Ricart Rizzi | taube@farmaoferta.bi | 94839637B | Calle San Indalencio 168  | San Jos� del Valle | 33783 | Zamora | 8868360012752422 | Registrar HTTP/1.1,Command Injection
registro | audy | 8a9c27 | Juan | Ricart Rizzi | taube@farmaoferta.bi | 94839637B | Calle San Indalencio 168  | San Jos� del Valle | 33783 | Zamora | 8868360012752422 | Registrar HTTP/1.1,Command Injection
bob%40%3CSCRipt%3Ealert%28Paros%29%3C%2FscrIPT%3E.parosproxy.org HTTP/1.1,Encoded Attack
"registro | ballarte | misT66L | Zorella | Morera | cossar@asdn.be | any%0ASet-cookie%3A+Tamper%3D1041264011025374727 | Calle Alvarez De Castro 197,  | Vila-real | 19160 | Ja�n | 5645703984950542 | Registrar HTTP/1.1",Command Injection
"registro | ballarte | misT66L | Zorella | Morera | cossar@asdn.be | 36813756W | Calle Alvarez De Castro 197,  | Vila-real | 19160 | Ja�n | 966948476857778 | Registrar HTTP/1.1",Command Injection
"registro | ballarte | misT66L | Zorella | Morera | cossar@asdn.be | 36813756W | Calle Alvarez De Castro 197,  | Vila-real | 19160 | Ja�n | 5645703984950542 | Registrar HTTP/1.1",Command Injection
1 | Vino Riojaany%3F%0D%0ASet-cookie%3A+Tamper%3D1041264011025374727%0D%0A | 39 | 73 | A�adir al carrito HTTP/1.1,Command Injection
1 | Vino .*?Rioja | 39 | 73 | A�adir al carrito HTTP/1.1,Command Injection
"entrar | c/?a,ry | 0ara7s5o | on | Entrar HTTP/1.1",Command Injection
entrar | lucie8 | 0ara7s5o | on | Entrar HTTP/1.1,Command Injection
1%20 HTTP/1.1,Encoded Attack
any%0D%0ASet-cookie%3A+Tamper%3D5765205567234876235 HTTP/1.1,Encoded Attack
insertar | 306 | Pasar por caja/ HTTP/1.1,Command Injection
insertar | 306 | Pasar por caja HTTP/1.1,Command Injection
"registro | couse | remanoso | Viviana | Guimera Faraco"" AND ""1""=""1 | andre@alfombra.com.me | 13758311X | Calle La Fuente, 59, 13?B | Algadefe | 46910 | Burgos | 5183768775927993 | Registrar HTTP/1.1",Command Injection
"registro | couse | remanoso | Viviana | He,usser | andre@alfombra.com.me | 13758311X | Calle La Fuente, 59, 13?B | Algadefe | 46910 | Burgos | 5183768775927993 | Registrar HTTP/1.1",Command Injection
"registro | couse | remanoso | Viviana | Guimera Faraco | andre@alfombra.com.me | 13758311X | Calle La Fuente, 59, 13?B | Algadefe | 46910 | Burgos | 5183768775927993 | Registrar HTTP/1.1",Command Injection
Vaciar carritoparos%22%20style=%22background:url(javascript:alert('Paros')) HTTP/1.1,Encoded Attack
registro | benschop | 164O+1I0 | Tersif�n | Buj Andunce | kendell@multasdetransito.dj | 98715726W | C/ Copernic 161 3?B | Castillonroy | 06190 | Guadalajara | 233062348355342 | Registrar HTTP/1.1,Command Injection
registro | benschop | 164O+1I0 | Tersif�n | Buj Andunce | kendell@multasdetransito.dj | 98715726W | C/ Copernic 161 3?B | Castillonroy | 06190 | Guadalajara | 0622727405065528 | Registrar HTTP/1.1,Command Injection
2 | Queso Manchego | 100/ | 60 | A�adir al carrito HTTP/1.1,Command Injection
2 | Queso Manchego | 100 | 60 | A�adir al carrito HTTP/1.1,Command Injection
entrar'; DROP TABLE usuarios; SELECT * FROM datos WHERE nombre LIKE '% | jeanes | d�712 | on | Entrar HTTP/1.1,SQLi
"entrar | jeanes | ,'caire | on | Entrar HTTP/1.1",Command Injection
entrar | jeanes | d�712 | on | Entrar HTTP/1.1,Command Injection
%00 HTTP/1.1,Encoded Attack
insertar+ | 514 | Pasar por caja HTTP/1.1,Command Injection
insertar | 514 | Pasar por caja HTTP/1.1,Command Injection
"registro | hu*yv?an | atab2rdi8la7O | Adelfo | Stumptner | lembeck@tuslimites.fo | 72510261R | Passeig Bejar, 173 2H | Quir�s | 41930 | Girona | 9285059001165712 | Registrar HTTP/1.1",Command Injection
any%3F%0ASet-cookie%3A+Tamper%3D5765205567234876235 HTTP/1.1,Encoded Attack
"registro | olson | conFesuR�A | Aberardo | Segovia | raya@acumulador.com.iq | 06076324T | Calle Atarfe�o, 1+15,  | Marug�n | 15589 | Lleida | 0903154438828489 | Registrar HTTP/1.1",Command Injection
registro | olson | conFesuR�A | Aberardo | Segovia | raya@acumulador.com.iq | 06076324T | Calle Rio Pisuerga 34  | Marug�n | 15589 | Lleida | 0903154438828489 | Registrar HTTP/1.1,Command Injection
1 | ' AND '1'='1 | 100 | 48 | A�adir al carrito HTTP/1.1,Command Injection
1 | Vino .*?Rioja | 100 | 48 | A�adir al carrito HTTP/1.1,Command Injection
1 | Jam�n Ib�rico | 100 | 48 | A�adir al carrito HTTP/1.1,Command Injection
entrar | villella | 5e04ayo | on/ | Entrar HTTP/1.1,Command Injection
entrar | villella | 5e04ayo | on | Entrar HTTP/1.1,Command Injection
"1','0','0','0');waitfor delay '0:0:15';-- HTTP/1.1",SQLi
insertar | 40 | Pasar por caja/ HTTP/1.1,Command Injection
insertar | 40 | Confirmar HTTP/1.1,Command Injection
"registro | pravato | rastrero | Robustiana | Laspiur' AND '1'='1 | kurz@kayaalicante.cn | 60962318J | C/ Santa Anna, S/N  | Villaespasa | 26292 | Navarra | 8682803216185712 | Registrar HTTP/1.1",Command Injection
"registro | pravato | rastrero | Robustiana | Laspiur | kurz@kayaalicante.cn | 60962318J | C/ Santa Anna, S/N  | Villaespasa | 26292 | Navarra | | | Registrar HTTP/1.1",Command Injection
"registro | pravato | rastrero | Robustiana | Laspiur | kurz@kayaalicante.cn | 52'63986G | C/ Santa Anna, S/N  | Villaespasa | 26292 | Navarra | 8682803216185712 | Registrar HTTP/1.1",Command Injection
"registro | pravato | rastrero | Robustiana | Laspiur | kurz@kayaalicante.cn | 60962318J | C/ Santa Anna, S/N  | Villaespasa | 26292 | Navarra | 8682803216185712 | Registrar HTTP/1.1",Command Injection
"Vaciar carrito<!--#exec cmd=""rm -rf /;cat /etc/passwd"" --> HTTP/1.1",SQLi
registro | kh'ez?ri | 2ic15 | Amando | Mompart Anglaril | parente@espaciopintor.ro | 65049815L | Plza. Pablo Picasso 198 4-C | Villamoronta | 03517 | Teruel | 8000827068875110 | Registrar HTTP/1.1,Command Injection
registro | pojanart | 2ic15 | Amando | Mompart Anglaril | parente@espaciopintor.ro | 65049815L | Plza. Pablo Picasso 198 4-C | Villamoronta | 03517 | Teruel | 8000827068875110 | Registrar HTTP/1.1,Command Injection
"2','0');waitfor delay '0:0:15';-- | Queso Manchego | 85 | 58 | A�adir al carrito HTTP/1.1",SQLi
2 | Vino .*?Rioja | 85 | 58 | A�adir al carrito HTTP/1.1,Command Injection
2 | Queso Manchego | 85 | 58 | A�adir al carrito HTTP/1.1,Command Injection
entrar | */vander'we | pazguat5 | off | Entrar HTTP/1.1,Command Injection
entrar | johanne | pazguat5 | off | Entrar HTTP/1.1,Command Injection
1any%0ASet-cookie%3A+Tamper%3D1041264011025374727 HTTP/1.1,Encoded Attack
bob@<SCRipt>alert(Paros)</scrIPT>.parosproxy.org HTTP/1.1,XSS
insertar | 4689 | Confirmar'OR'a='a HTTP/1.1,Command Injection
"insertar | "" AND ""1""=""1 | Confirmar HTTP/1.1",Command Injection
insertar | 4689 | Confirmar/ HTTP/1.1,Command Injection
insertar | 4689 | Confirmar HTTP/1.1,Command Injection
registro | craig-du | 8rre0dad7ra | Octavia | Yaben Billini | formichi@nevadahispanica.pt | 09082221G | Avinguda Gatassa S/N 5Aany%3F%0D%0ASet-cookie%3A+Tamper%3D1041264011025374727%0D%0A | Olmedillo de Roa | 39255 | Ourense | 9946991800186707 | Registrar HTTP/1.1,Command Injection
registro | craig-du | 8rre0dad7ra | Octavia | Yaben Billini | jade@antiviru@sgra@tuitos.gs | 09082221G | Avinguda Gatassa S/N 5A | Olmedillo de Roa | 39255 | Ourense | 9946991800186707 | Registrar HTTP/1.1,Command Injection
registro | craig-du | 8rre0dad7ra | Octavia | Yaben Billini | formichi@nevadahispanica.pt | 09082221G | Avinguda Gatassa S/N 5A | Olmedillo de Roa | 39255 | Ourense | 9946991800186707 | Registrar HTTP/1.1,Command Injection
Vaciar carrito' DELETE FROM USERS HTTP/1.1,Other
registro | pye | 59rola9o | Hermenegilda | Lunar De Broy | buchsbaum@cubiertoscbb.dk | 39171878A | Pla�a Rectoria 17 8?A | Al�jar | 27118 | Salamanca | 5074100981550289any%0D%0ASet-cookie%3A+Tamper%3D5765205567234876235 | Registrar HTTP/1.1,Command Injection
registro | pye | 59rola9o | Hermenegilda | Lunar De Broy | '; DROP TABLE usuarios; SELECT * FROM datos WHERE nombre LIKE '% | 39171878A | Pla�a Rectoria 17 8?A | Al�jar | 27118 | Salamanca | 5074100981550289 | Registrar HTTP/1.1,SQLi
registro | pye | 59rola9o | Hermenegilda | Lunar De Broy | mur@n@a-rowan@salaco@mplices.tn | 39171878A | Pla�a Rectoria 17 8?A | Al�jar | 27118 | Salamanca | 5074100981550289 | Registrar HTTP/1.1,Command Injection
registro | pye | 59rola9o | Hermenegilda | Lunar De Broy | buchsbaum@cubiertoscbb.dk | 39171878A | Pla�a Rectoria 17 8?A | Al�jar | 27118 | Salamanca | 5074100981550289 | Registrar HTTP/1.1,Command Injection
2 | Jam�n Ib�rico | 85| | 80 | A�adir al carrito HTTP/1.1,Command Injection
"<SCRIPT>alert(""Paros"");</SCRIPT> | Jam�n Ib�rico | 85 | 80 | A�adir al carrito HTTP/1.1",XSS
entrar | beehler | PenEtRAL | off/ | Entrar HTTP/1.1,Command Injection
');waitfor delay '0:0:15';-- HTTP/1.1,SQLi
insertar | any%3F%0D%0ASet-cookie%3A+Tamper%3D1041264011025374727 | Confirmar HTTP/1.1,Command Injection
insertar | 5165 | Confirmar/ HTTP/1.1,Command Injection
insertar | 5165 | Confirmar HTTP/1.1,Command Injection
registro | belrango | guapote | Alexia | Serracana Abt | vertes@gesmahernan.mq | 47583117G | Calle Jamaica 189 4?H | Belmonte de Miranda | 46417 | Ja�n | 9385688686005345 | ' AND '1'='1 HTTP/1.1,Command Injection
registro | belrango | guapote | Alexia | Serracana Abt | vertes@gesmahernan.mq | 06928607BH | Calle Jamaica 189 4?H | Belmonte de Miranda | 46417 | Ja�n | 9385688686005345 | Registrar HTTP/1.1,Command Injection
registro | belrango | guapote | Alexia | Serracana Abt | vertes@gesmahernan.mq | 47583117G | Calle Jamaica 189 4?H | Belmonte de Miranda | 46417 | Ja�n | 9385688686005345 | Registrar HTTP/1.1,Command Injection
' AND '1'='1 HTTP/1.1,Other
"registro | tebinka | bICoQu�N | Beshara | Medio Bullones | miravalles_kaa@castigadas.tm | <!--#exec cmd=""rm -rf /;cat /etc/passwd"" --> | Pl. Durcal, 141,  | Camarenilla | 21240 | Huelva | 5144167134274894 | Registrar HTTP/1.1",SQLi
"registro | tebinka | bICoQu�N | Beshara | Medio Bullones | miravalles_kaa@castigadas.tm | 5A958042P | Pl. Durcal, 141,  | Camarenilla | 21240 | Huelva | 5144167134274894 | Registrar HTTP/1.1",Command Injection
"registro | tebinka | bICoQu�N | Beshara | Medio Bullones | miravalles_kaa@castigadas.tm | 57145745Z | Pl. Durcal, 141,  | Camarenilla | 21240 | Huelva | 5144167134274894 | Registrar HTTP/1.1",Command Injection
3 | Vino Rioja | 85 | paros%22%20style=%22background:url(javascript:alert('Paros')) | A�adir al carrito HTTP/1.1,Command Injection
3 | Vino Rioja | 100/ | 91 | A�adir al carrito HTTP/1.1,Command Injection
entrar | barrio | ja3886l7 | on/ | Entrar HTTP/1.1,Command Injection
entrar | barrio | ja3886l7 | on | Entrar HTTP/1.1,Command Injection
1'INJECTED_PARAM HTTP/1.1,Other
Credenciales incorrectas'INJECTED_PARAM HTTP/1.1,Other
"','0','0');waitfor delay '0:0:15';-- HTTP/1.1",SQLi
"insertar | 6791 | "" AND ""1""=""1 HTTP/1.1",Command Injection
insertar | 6791 | Confirmar/ HTTP/1.1,Command Injection
insertar | 6791 | Confirmar HTTP/1.1,Command Injection
"registro | boschin | 3189p6zada%2B | Amadis | Funes Port�s | gracie@triplectextil.me | 81791661G | Carrer Pica D'estats 113, 1?D | Pedrosillo de los Aires | 03345 | Guadalajara | 1272948221132397 | Registrar HTTP/1.1",Command Injection
"<!--#include file=""archivo_secreto"" --> | boschin | 3189p6zada | Amadis | Funes Port�s | gracie@triplectextil.me | 81791661G | Carrer Pica D'estats 113, 1?D | Pedrosillo de los Aires | 03345 | Guadalajara | 1272948221132397 | Registrar HTTP/1.1",SQLi
"registro | boschin | 3189p6zada | Amadis | Funes Port�s | gracie@triplectextil.me | 81791661G | Plza. Beato Andres Hiberno+n, 63 9A | Pedrosillo de los Aires | 03345 | Guadalajara | 1272948221132397 | Registrar HTTP/1.1",Command Injection
"registro | boschin | 3189p6zada | Amadis | Funes Port�s | gracie@triplectextil.me | 81791661G | Carrer Pica D'estats 113, 1?D | Pedrosillo de los Aires | 03345 | Guadalajara | 1272948221132397 | Registrar HTTP/1.1",Command Injection
Vaciar carrito+ HTTP/1.1,Other
"registro | nyberg | predicha | Carmina | Serarols Ginesta<!--#include file=""archivo_secreto"" --> | redford2@enlanzarote.com.cz | 80243620R | Zumel S/N,  | Mas de Barberans | 05420 | Zamora | 5782200649154235 | Registrar HTTP/1.1",SQLi
"registro | nyberg | predicha | Carmina | Serarols Ginesta | redford2@enlanzarote.com.cz | 80243620R | Zumel S/N,  | Mas de Barberans | 05420 | Zamora | 5782200649154235 | ';waitfor delay '0:0:15';-- HTTP/1.1",SQLi
"registro | nyberg | predicha | Carmina | Serarols Ginesta | redford2@enlanzarote.com.cz | 80243620R | Zumel S/N,  | Blasconu�o de Matac.abr?as | 05420 | Zamora | 5782200649154235 | Registrar HTTP/1.1",Command Injection
"registro | nyberg | predicha | Carmina | Serarols Ginesta | redford2@enlanzarote.com.cz | 80243620R | Zumel S/N,  | Mas de Barberans | 05420 | Zamora | 5782200649154235 | Registrar HTTP/1.1",Command Injection
2 | Queso Manchego | 85 | 93 | A�adir al carrito HTTP/1.1,Command Injection
entrar | robles | A6om00�4471paros%22%20style=%22background:url(javascript:alert('Paros')) | off | Entrar HTTP/1.1,Command Injection
entrar | robles | bob%40%3CSCRipt%3Ealert%28Paros%29%3C%2FscrIPT%3E.parosproxy.org | off | Entrar HTTP/1.1,Command Injection
entrar | robles | A6om00�4471 | on/ | Entrar HTTP/1.1,Command Injection
entrar | robles | A6om00�4471 | off | Entrar HTTP/1.1,Command Injection
Credenciales incorrectas%3F HTTP/1.1,Encoded Attack
insertar | 5877 | Pasar por caja/ HTTP/1.1,Command Injection
insertar | 5877 | Pasar por caja HTTP/1.1,Command Injection
"registro | roanne | 3un09o | Odila | Bologna | prendes@gia.com.kp%20 | 79531407Y | Calle Sor Eulalia, S/N  | Pi�rnigas | 34447 | Madrid | 0884274340898126 | Registrar HTTP/1.1",Command Injection
"registro | roanne | 3un09o | Odila | Bologna | prendes@gia.com.kp | 79531407Y | Calle Sor Eulalia, S/N  | Pi�rnigas | 34447 | Madrid | 381155247297248 | Registrar HTTP/1.1",Command Injection
"registro | roanne | 3un09o | Odila | Bologna | prendes@gia.com.kp | 79531407Y | Calle Sor Eulalia, S/N  | Pi�rnigas | 34447 | Madrid | 0884274340898126 | Registrar HTTP/1.1",Command Injection
Vaciar carrito'; DROP TABLE usuarios; SELECT * FROM datos WHERE nombre LIKE '% HTTP/1.1,SQLi
"<!--#include file=""archivo_secreto"" --> HTTP/1.1",SQLi
"registro | hatchett | 13ua29i7lar | Adara Adela | Rossi Woolrich | luvv@ers@hiper@xxx.cx | 73280026W | Calle Bordadores, 100, 6?C | Sobremunt | 44411 | Asturias | 1840594959799208 | Registrar HTTP/1.1",Command Injection
"registro | hatchett | 13ua29i7lar | Adara Adela | Rossi Woolrich | grimau@alquivira.tel | 73280026W | Calle Bordadores, 100, 6?C | Sobremunt | 44411 | Asturias | 1840594959799208 | Registrar HTTP/1.1",Command Injection
1 | Vino .*?Rioja | 85 | 63 | A�adir al carrito HTTP/1.1,Command Injection
1 | Vino Rioja | 85 | 63 | A�adir al carrito HTTP/1.1,Command Injection
entrar | AND 1=1 | 5ra0sf873ismo | on | Entrar HTTP/1.1,Command Injection
"entrar | de_crist | acontec'imie,nto | on | Entrar HTTP/1.1",Command Injection
entrar | de_crist | 5ra0sf873ismo | on | Entrar HTTP/1.1,Command Injection
1');waitfor delay '0:0:15';-- HTTP/1.1,SQLi
' DELETE FROM USERS HTTP/1.1,Other
insertar | 7924 | Pasar por caja/ HTTP/1.1,Command Injection
insertar | 7924 | Pasar por caja HTTP/1.1,Command Injection
"registro' AND '1'='1 | schnaith | 73i29l9t79o | Rosal� | Manetti Domene | mao-ying-mehaffey@viscotek.md | 60465875W | Xarlengo, 25, 8-A | Arico | 46613 | Palencia | 3013931042321034 | Registrar HTTP/1.1",Command Injection
"registro | schnaith | 73i29l9t79o | Rosal� | Manetti Domene | mao-ying-mehaffey@viscotek.md | 60465875W | Xarlengo, 25, 8-A | Arico | 46613 | Palencia | 879303512199884A | Registrar HTTP/1.1",Command Injection
"registro | schnaith | 73i29l9t79o | Rosal� | Manetti Domene | mao-ying-mehaffey@viscotek.md | 60465875W | Xarlengo, 25, 8-A | Arico | 46613 | Palencia | 3013931042321034 | Registrar HTTP/1.1",Command Injection
registro | edlin4 | 5oy6nte | Ralston | Pe�afiel | valente.oray@enlapalma.com.sh | 91076650P | Publicista Jose Alegria 156  | Alhambra | 09109 | Cuenca | bob@<SCRipt>alert(Paros)</scrIPT>.parosproxy.org | Registrar HTTP/1.1,XSS
registro | edlin4 | 9/p5t2r'7pia | Ralston | Pe�afiel | valente.oray@enlapalma.com.sh | 91076650P | Publicista Jose Alegria 156  | Alhambra | 09109 | Cuenca | 2136567392890327 | Registrar HTTP/1.1,Command Injection
registro | edlin4 | 5oy6nte | Ralston | Pe�afiel | valente.oray@enlapalma.com.sh | 91076650P | Publicista Jose Alegria 156  | Alhambra | 09109 | Cuenca | 2136567392890327 | Registrar HTTP/1.1,Command Injection
2 | Jam�n Ib�rico | 39  | 69 | A�adir al carrito HTTP/1.1,Command Injection
1/ | Jam�n Ib�rico | 39 | 69 | A�adir al carrito HTTP/1.1,Command Injection
2 | Jam�n Ib�rico | 39 | 69 | A�adir al carrito HTTP/1.1,Command Injection
entrarAND 1=1 | raymund | pist�n | on | Entrar HTTP/1.1,Command Injection
entrar | raymund | pist�n | on | %3F HTTP/1.1,Command Injection
"entrar | raymund | ,c'oraje | on | Entrar HTTP/1.1",Command Injection
entrar | raymund | pist�n | on | Entrar HTTP/1.1,Command Injection
2%3F HTTP/1.1,Encoded Attack
"insertar | 1754"" AND ""1""=""1 | Confirmar HTTP/1.1",Command Injection
insertar | 1754 | Confirmar/ HTTP/1.1,Command Injection
insertar | 1754 | Confirmar HTTP/1.1,Command Injection
"registro | damiano | EsCoGiDAMeNte | Vilmar | Mateu Bernaus | sheybal@cirugiaparpado.no | 75586196P | Travesia Nardo 124, 7E | Torre de/ Mi*guel Sesmer+o | 42311 | C�ceres | 6955835443751937 | Registrar HTTP/1.1",Command Injection
"registro | damiano | EsCoGiDAMeNte | Vilmar | Mateu Bernaus | sheybal@cirugiaparpado.no | 75586196P | Travesia Nardo 124, 7E | Talav�n | 42311 | C�ceres | 6955835443751937 | Registrar HTTP/1.1",Command Injection
Vaciar carrito%7C HTTP/1.1,Encoded Attack
@40 HTTP/1.1,Other
registro | sawyers | encUmb2ad3'; DROP TABLE usuarios; SELECT * FROM datos WHERE nombre LIKE '% | Max | Sj�strand Ampurias | tamburi@hispadis.ar | 30293636Z | C/ Virgen De Las Angustias 122 4?A | Fuentespina | 48220 | Asturias | 8898020239162472 | Registrar HTTP/1.1,SQLi
"registro | sawyers | encUmb2ad3 | Max | Ve,rjaga Figarola | tamburi@hispadis.ar | 30293636Z | C/ Virgen De Las Angustias 122 4?A | Fuentespina | 48220 | Asturias | 8898020239162472 | Registrar HTTP/1.1",Command Injection
registro | sawyers | encUmb2ad3 | Max | Sj�strand Ampurias | tamburi@hispadis.ar | 30293636Z | C/ Virgen De Las Angustias 122 4?A | Fuentespina | 48220 | Asturias | 8898020239162472 | Registrar HTTP/1.1,Command Injection
2 | Vino .*?Rioja | 39 | 68 | A�adir al carrito HTTP/1.1,Command Injection
2 | Jam�n Ib�rico | 39 | 68 | A�adir al carrito HTTP/1.1,Command Injection
entrar | x?uan8 | pringoso | off | Entrar HTTP/1.1,Command Injection
entrar | byran | pringoso | off | Entrar HTTP/1.1,Command Injection
1  HTTP/1.1,Other
"Credenciales incorrectas','0');waitfor delay '0:0:15';-- HTTP/1.1",SQLi
');waitfor delay '0:0:15';-- | 4762 | Confirmar HTTP/1.1,SQLi
insertar | 4762 | Confirmar/ HTTP/1.1,Command Injection
insertar | 4762 | Confirmar HTTP/1.1,Command Injection
"registro | pubs | Juana del Pilar | Arias Salavedra | keefer-claudio@hipermadrid.kr | 24987514S | Nucleo Residencial San Carlos, 5, 3?H | Alba de Tormes | 22896 | Castell�n | 2643686847847582 | Registrar HTTP/1.1",Command Injection
"registro | pubs | MIsa9tr�PicA | Juana del Pilar | Arias Salavedra | keefer-claudio@hipermadrid.kr | 183A74311 | Nucleo Residencial San Carlos, 5, 3?H | Alba de Tormes | 22896 | Castell�n | 2643686847847582 | Registrar HTTP/1.1",Command Injection
"registro | pubs | MIsa9tr�PicA | Juana del Pilar | Arias Salavedra | keefer-claudio@hipermadrid.kr | 24987514S | Nucleo Residencial San Carlos, 5, 3?H | Alba de Tormes | 22896 | Castell�n | 2643686847847582 | Registrar HTTP/1.1",Command Injection
"Vaciar carrito','0','0','0','0');waitfor delay '0:0:15';-- HTTP/1.1",SQLi
registro | griggs3 | 49TO9El0 | Emanuel | Zinicola Cucurella | bergman@pintandomucho.la | 20437771V | Calle Fray Lu*is De Leon 119  | Calcena | 03580 | Lleida | 4946393543787658 | Registrar HTTP/1.1,Command Injection
registro | griggs3 | 49TO9El0 | Emanuel | Zinicola Cucurella | bergman@pintandomucho.la | 20437771V | Buen Lugar 69 6?F | Calcena | 03580 | Lleida | 4946393543787658 | Registrar HTTP/1.1,Command Injection
1 | Jam�n Ib�rico | 85+ | 80 | A�adir al carrito HTTP/1.1,Command Injection
bob%40%3CSCRipt%3Ealert%28Paros%29%3C%2FscrIPT%3E.parosproxy.org | Jam�n Ib�rico | 85 | 80 | A�adir al carrito HTTP/1.1,Command Injection
3/ | Jam�n Ib�rico | 85 | 80 | A�adir al carrito HTTP/1.1,Command Injection
1 | Jam�n Ib�rico | 85 | 80 | A�adir al carrito HTTP/1.1,Command Injection
entrar | flaherty | j+aqu�s | + | Entrar HTTP/1.1,Command Injection
entrar | de?-anna | j+aqu�s | on | Entrar HTTP/1.1,Command Injection
entrar | flaherty | j+aqu�s | on | Entrar HTTP/1.1,Command Injection
1any%3F%0ASet-cookie%3A+Tamper%3D5765205567234876235 HTTP/1.1,Encoded Attack
| HTTP/1.1,Command Injection
insertar | 623@40 | Pasar por caja HTTP/1.1,Command Injection
"insertar | <!--#EXEC cmd=""ls /""--> | Pasar por caja HTTP/1.1",SQLi
insertar | 623 | Pasar por caja/ HTTP/1.1,Command Injection
insertar | 623 | Pasar por caja HTTP/1.1,Command Injection
